,1.2.1_SI_POV_NAHC,1.3.1_SI_COV_PENSN,1.4.1_SP_ACS_BSRVH2O,1.4.1_SP_ACS_BSRVSAN,1.a.2_SD_XPD_ESED,10.4.1_SL_EMP_GTOTL,10.5.1_FI_FSI_FSLS,10.5.1_FI_FSI_FSKNL,10.5.1_FI_FSI_FSANL,10.5.1_FI_FSI_FSERA,10.a.1_TM_TRF_ZERO,10.b.1_DC_TRF_TOTL,11.6.2_EN_ATM_PM25,12.2.2_EN_MAT_DOMCMPC,12.2.2_EN_MAT_DOMCMPG,12.4.2_EN_EWT_GENPCAP,16.2.2_VC_HTF_DETV,16.3.2_VC_PRS_UNSEC,16.5.2_IC_FRM_BRIB,16.9.1_SG_REG_BRTH,2.1.1_SN_ITK_DEFC,2.2.1_SH_STA_STUNTN,2.2.1_SH_STA_STUNT,2.2.2_SH_STA_OVRWGTN,2.2.2_SH_STA_WASTEN,2.5.1_ER_GRF_ANIMRCNTN,2.a.1_AG_PRD_ORTIND,2.a.1_AG_XPD_AGSGB,2.a.1_AG_PRD_AGVAS,2.a.2_DC_TOF_AGRL,2.c.1_AG_FPA_CFPI,3.1.1_SH_STA_MMR,3.2.1_SH_DYN_IMRTN,3.2.1_SH_DYN_IMRT,3.2.1_SH_DYN_MORTN,3.2.1_SH_DYN_MORT,3.2.2_SH_DYN_NMRTN,3.2.2_SH_DYN_NMRT,3.3.1_SH_HIV_INCD,3.3.2_SH_TBS_INCID,3.3.4_SH_HAP_HBSAG,3.3.5_SH_TRP_INTVN,3.4.1_SH_DTH_NCOM,3.4.1_SH_DTH_RNCOM,3.4.2_SH_STA_SCIDEN,3.4.2_SH_STA_SCIDE,3.5.1_SH_SUD_ALCOL,3.5.2_SH_ALC_CONSPT,3.6.1_SH_STA_TRAF,3.7.1_SH_FPL_MTMM,3.7.2_SP_DYN_ADKL,3.8.2_SH_XPD_EARN10,3.8.2_SH_XPD_EARN25,3.9.1_SH_AAP_ASMORT,3.9.1_SH_HAP_ASMORT,3.9.2_SH_STA_WASH,3.9.3_SH_STA_POISN,3.b.1_SH_ACS_DTP3,3.b.1_SH_ACS_MCV2,3.b.1_SH_ACS_PCV3,3.b.2_DC_TOF_HLTHL,3.b.2_DC_TOF_HLTHNT,3.c.1_SH_MED_HEAWOR,4.1.1_SE_TOT_PRFL,4.1.2_SE_TOT_CPLR,4.5.1_SE_AGP_CPRA,4.5.1_SE_ALP_CPLR,4.5.1_SE_AWP_CPRA,4.b.1_DC_TOF_SCHIPSL,5.5.1_SG_GEN_LOCGELS,5.5.1_SG_GEN_PARL,5.5.2_IC_GEN_MGTL,6.2.1_SH_SAN_DEFECT,6.4.1_ER_H2O_WUEYST,6.4.2_ER_H2O_STRESS,6.5.1_ER_H2O_IWRMD,6.6.1_EN_WBE_PMPR,6.a.1_DC_TOF_WASHL,6.b.1_ER_H2O_RURP,7.1.1_EG_ELC_ACCS,7.1.2_EG_EGY_CLEAN,7.2.1_EG_FEC_RNEW,7.3.1_EG_EGY_PRIM,8.1.1_NY_GDP_PCAP,8.10.1_FB_ATM_TOTL,8.10.1_FB_CBK_BRCH,8.10.2_FB_BNK_ACCSS,8.2.1_SL_EMP_PCAP,8.6.1_SL_TLF_NEET,8.a.1_DC_TOF_TRDCML,8.a.1_DC_TOF_TRDDBML,9.1.2_IS_RDP_FRGVOL,9.1.2_IS_RDP_PFVOL,9.2.1_NV_IND_MANF,9.2.1_NV_IND_MANFPC,9.2.2_SL_TLF_MANF,9.3.2_FC_ACC_SSID,9.a.1_DC_TOF_INFRAL,9.b.1_NV_IND_TECH,9.c.1_IT_MOB_2GNTWK,9.c.1_IT_MOB_3GNTWK,9.c.1_IT_MOB_4GNTWK,Human Development Index
Nigeria,44.3,11.0,71.48,39.23,14.226900000000008,66.46,35.32,-11.1,6.03,2.53,56.79,3492.78,47.5,0.62,0.26,2.32,901.0,71.8,28.85,42.6,12.6,12118.68,36.82,678.0,2234.18,0.0,0.09,1.85,20.76,240.77,1.7,917.0,367789.33,75.6,577389.33,119.8,267440.0,36.0,0.74,219.0,2.6,131361930.0,22.43,60991.33,11806.67,9.53,0.6,10.81,21.4,35.6,106.0,15.05,4.06,147.0,226.0,68.6,2.97,57.0,43.05,57.0,475.46,433.65,4.27,29.416399999999996,64.84,0.76,0.7,0.25,10.66,9.78,3.43,30.28,19.73,30.53,9.7,35.0,0.46,214.06,2.0,54.61,10.0,82.55,6.44,-0.67,16.93,4.3,39.45,-0.4,21.4,1445.43,650.65,22608047108.63,74077526934.57,9.15,232.9,7.9,5.11,844.94,33.44,94.33,75.48,22.34,0.535
North Macedonia,22.2,71.4,93.45,99.02,8.64,43.74,57.97310000000002,12.401700000000005,6.573099999999998,1.6605,68.61,305.32,30.69,2.56,0.49,7.87,2.0,9.6,7.48,99.7,3.1,5.49,4.95,13.78,2.02,0.0,0.39139999999999975,2.653599999999999,7.845999999999991,9.4,-0.3,7.0,130.67,8.67,149.33,9.87,166.0,7.4,0.02,13.0,0.2,12.0,20.33,3010.0,109.33,7.9,6.0,6.18,6.4,22.3,15.1,5.44,0.57,46.0,43.0,0.1,0.4,91.0,97.0,75.11,0.44,-0.15,25.14,50.04,73.67,0.7,0.41,0.25,2.6,40.85229999999999,40.0,26.89,0.77,10.08,12.7,22.0,2.0,17.67,0.0,100.0,65.0,19.07,4.17,3.25,61.06040000000004,22.425600000000003,76.61,-0.6,24.17,99.42,50.67,3648000000.0,5881000000.0,11.72,618.1,19.9,40.93,60.25,29.61,99.88,99.88,99.53,0.77
Norway,14.144300000000003,95.13,100.0,98.12,15.97,52.65,15.82,0.14,0.75,1.35,70.41,2367.7487999999994,7.4,3.85,0.04,26.04,262.0,25.1,6.845800000000002,100.0,2.5,7084.419699999996,7.515300000000001,177.76739999999998,2942.037999999999,0.0,0.97,1.83,1.88,84.74509999999998,-0.9,2.0,80.67,2.07,100.0,2.53,88.0,1.5,0.03,4.1,0.0,5.0,9.2,4466.83,426.0,12.17,7.2,7.4,2.7,77.56949999999998,2.9,8.722800000000007,1.1713,9.0,5.7,0.2,0.17,96.0,93.0,94.0,36.08560000000003,31.231399999999994,57.1,83.35,88.29,1.05,1.07,0.96,9.902000000000005,40.84,41.42,35.6,0.0,128.76,2.15,63.0,4.81,122.15969999999999,1.65,100.0,95.0,61.16,3.66,0.5,34.46,5.5,99.75,0.7,4.87,560.9925000000005,602.9873999999996,6521280250.0,50307948223.74,6.18,4735.5,7.7,40.944700000000005,872.5404000000001,42.68,99.9,99.9,99.9,0.961
Oman,14.109200000000008,24.7,88.18,100.0,11.08,54.87,44.357199999999985,17.355700000000002,6.9962,2.2284999999999995,65.04,1246.7,37.21,5.59,0.35,15.76,13.0,28.364999999999995,12.111600000000003,100.0,7.8,48.28,11.4,17.79,39.39,1.0,0.2,0.44,2.25,0.06,-0.3,19.0,594.0,9.8,686.0,11.4,466.0,5.1,0.11,5.9,0.4,1.0,17.57,1065.75,116.0,3.43,0.37,0.67,16.1,39.6,11.7,7.953800000000005,1.3426,49.0,6.0,0.0,0.37,99.0,99.0,99.0,0.27,0.6603999999999999,17.64,38.24,73.36299999999997,0.9963000000000001,0.8371999999999996,0.4491000000000001,0.65,3.47,2.33,11.06,0.0,39.6,116.7,33.0,0.08,0.24,2.0,100.0,95.0,0.0,6.35,-1.37,35.13,14.59,73.63,-3.5,22.295,322.53600000000006,263.49260000000004,5903181015.84,20190901570.77,10.87,1594.3,9.5,31.25189999999999,7.68,20.64,99.3,99.2,96.05,0.816
Pakistan,26.03,3.0,91.86,62.25,14.54,42.21,86.45,7.83,7.97,0.81,38.52,1065.39,55.7,0.79,0.65,2.11,356.77,66.1,30.84,42.2,12.3,10269.46,37.63,668.73,1935.3,0.0,0.02,0.51,22.57,271.22,0.6,140.0,225596.67,57.07,272392.67,69.2,251484.0,42.0,0.11,265.0,2.8,31683212.0,24.63,107477.42,3701.33,2.87,0.37,0.34,14.3,48.6,46.0,4.47,0.5,98.0,101.0,19.6,2.33,75.0,67.0,79.0,359.45,350.94,4.76,35.0,45.0,0.79,1.01,0.17,16.0,16.85,20.18,4.93,8.95,1.46,122.6,50.0,0.34,219.33,2.0,74.98,44.0,41.4,4.41,3.28,10.45,10.28,20.98,1.1,31.17,1046.4,628.13,107612525239.92,157522743645.07,12.71,190.4,16.2,6.55,956.61,24.62,88.7,88.7,68.6,0.544
Panama,22.1,25.0,95.78,80.14,13.02,30.31,34.8,-0.04,1.74,1.5,46.02,1873.77,11.58,1.43,0.12,9.43,34.0,52.8,7.06,95.6,6.9,68.52,19.02,34.9,4.49,0.0,0.76,1.73,2.18,3.25,-0.9,52.0,692.0,13.1,804.0,15.27,670.0,8.5,0.32,52.0,0.2,50833.0,13.07,1963.08,116.0,4.3,6.8,8.0,14.3,65.2,75.9,3.28,0.6,17.0,10.0,1.9,0.37,88.0,99.0,92.0,4.66,2.78,12.89,38.16,81.09,1.07,0.81,0.71,0.93,9.01,22.54,48.49,5.83,46.68,0.9,37.0,0.98,18.36,3.0,100.0,88.0,22.77,2.12,1.94,69.95,21.66,46.56,2.3,16.47,9.66,8.56,1862386363.72,23376163769.28,5.79,885.9,7.6,26.79,288.04,6.4,96.0,95.0,33.0,0.805
Papua New Guinea,36.93,4.9,53.91,22.83,8.73,30.67,21.51,5.65,3.73,3.81,71.71,656.98,11.19,1.91,0.86,1.07,112.82,37.8,26.42,13.4,21.84300000000001,500.55,49.45,138.85,142.28,0.0,0.07,1.67,24.33,44.65,-0.5599999999999997,145.0,5839.33,37.9,7328.0,47.7,5153.0,22.1,0.28,432.0,2.2,6261977.0,30.07,4265.58,322.67,5.97,5.3,1.39,14.2,49.2,68.0,7.163899999999997,1.2691999999999997,42.0,125.0,16.3,1.67,61.0,45.88,43.0,52.41,50.96,1.36,29.311999999999983,57.45839999999998,0.9081999999999998,0.6952000000000003,0.3506,14.5,13.786500000000007,0.0,18.12,10.59,61.682700000000004,0.1,25.0,1.13,33.88,0.0,61.96,8.0,49.74,5.13,-1.95,8.18,1.52,32.620200000000004,3.0,27.7,224.84,231.97,1024657737.03,6086146355.41,2.29,60.9,1.8,30.9,301.35,12.61,89.0,64.35,50.0,0.558
Paraguay,26.4,22.37,99.55,88.93,18.15,52.3,18.65,3.1,2.51,2.27,80.1,203.52,11.42,2.51,0.62,7.06,20.0,76.0,13.82,69.1,8.8,38.33,5.6,85.17,6.59,0.0,0.13,1.3,10.16,28.44,0.3,84.0,1636.67,17.2,1913.33,20.17,1529.0,10.7,0.18,43.0,0.7,1974836.0,17.5,3314.0,425.67,9.47,6.97,7.54,22.7,78.9,72.0,7.1,1.93,25.0,37.0,1.5,0.33,88.0,83.0,94.0,11.08,10.29,8.02,33.41,76.93,1.04,0.8,0.72,1.24,20.82,16.25,37.35,0.7,9.05,1.8,32.0,0.88,17.0,1.0,99.2,68.0,60.11,3.65,2.67,29.2,10.15,48.64,-0.5,18.33,74.2,119.09,7342142243.95,9306230816.74,11.24,494.7,11.0,35.72,295.39,21.83,98.8,97.7,80.8,0.717
Peru,27.67,49.4,87.43,70.01,17.13,46.12,34.57,-0.6,3.27,2.18,80.86,-231.14,26.66,2.72,0.44,6.28,445.0,40.8,17.59,97.7,6.7,335.41,12.17,235.82,12.69,0.0,0.2856,2.5036000000000005,10.3357,93.58,0.2,88.0,4230.67,11.1,5447.33,14.3,4211.0,7.3,0.1,123.0,0.2,346737.0,12.63,13354.33,1044.67,4.93,8.9,6.4,13.5,66.6,44.0,9.21,1.27,37.0,34.0,1.3,0.9,84.0,66.0,82.0,11.62,11.53,9.95,55.54,89.4,0.99,0.88,0.84,3.21,26.17,30.0,31.96,9.44,11.06,3.0,30.0,0.98,74.35,2.0,93.35,80.0,27.69,2.62,2.21,112.65,7.23,42.67,-0.3,17.73,139.41,154.64,11714032837.6,53186554164.14,12.51,830.9,9.2,72.2,224.73,15.13,82.89,73.94,52.24,0.762
Philippines,17.3,64.0,93.74,76.61,13.21,26.58,50.74,3.5,1.67,1.32,60.44,4269.59,18.54,0.7,0.24,3.91,203.0,73.4,17.22,91.8,14.5,3343.69,30.3,441.41,617.97,0.0,0.3,2.75,9.28,221.65,-0.4,121.0,32812.67,22.43,41748.0,28.3,29622.0,13.5,0.19,554.0,1.1,47078380.0,26.87,61146.25,2175.33,3.17,5.3,6.87,12.3,56.0,39.0,6.31,1.41,72.0,134.0,4.2,0.23,65.0,40.0,43.0,65.01,61.49,14.67,17.83,83.29,1.1,1.02,0.61,83.82,29.08,27.96,52.65,4.99,3.38,27.49,51.0,2.01,115.3,0.0,93.14,46.0,23.4,3.05,4.77,28.9,9.02,34.46,3.3,20.0,1588.62,451.75,13587561787.2,171160097906.17,20.5,711.1,8.8,23.99,644.32,43.32,99.0,93.0,80.0,0.699
Poland,15.0,99.83,99.7,98.85,11.29,48.1,25.16,9.4,3.85,0.69,67.96,3464.3518999999983,21.04,3.27,0.21,11.66,94.0,9.1,1.85,100.0,2.5,50.09,2.6,234.65199999999996,23.239899999999988,1.0,0.69,1.64,2.11,89.70710000000003,1.0,2.0,944.67,3.77,1107.33,4.43,1020.0,2.7,0.13489999999999996,16.0,0.0,36.0,18.8,52581.08,4116.33,16.47,13.07,11.9,9.7,67.55449999999998,11.1,14.11,1.32,38.0,5.63,0.1,0.23,95.0,92.0,60.0,37.49760000000001,34.81849999999999,25.99,87.11,95.18,1.04,0.98,0.91,10.1577,26.93,28.7,42.5,0.0,43.48,38.05,40.0,1.17,91.90770000000006,1.4,100.0,95.0,11.12,4.19,5.24,70.94,29.73,86.69,4.5,8.7,388.3864,428.6618999999997,109554872000.0,101800188333.33,19.48,2901.8,21.0,26.18,963.9649,34.21,100.0,100.0,100.0,0.876
Portugal,14.592200000000007,89.27,99.88,99.64,10.15,54.51,23.34,42.22,9.43,0.66,54.56,1577.5919999999996,7.99,1.77,0.08,16.56,132.0,15.8,5.756799999999998,100.0,2.5,250.24850000000006,5.9262,146.58409999999995,85.85739999999996,0.0,0.3,0.62,2.05,43.558599999999984,0.4,8.0,166.67,3.1,202.67,3.73,165.0,2.1,0.08,24.0,0.1,17.0,11.2,11847.92,966.67,14.23,7.0,12.33,7.4,55.2985,8.0,18.38,3.31,10.0,6.1,0.2,0.27,99.0,96.0,98.0,30.2275,29.522800000000004,35.05,83.82,80.78,1.1,0.99,0.68,5.833399999999998,39.589400000000005,40.0,33.96,0.0,16.15,18.4,74.0,0.87,65.99910000000004,1.69,100.0,95.0,24.44,3.3,2.76,165.8,36.04,92.4,1.9,8.4,350.7720999999999,368.14009999999985,8998052342.0,17539908783.0,13.14,2626.6,17.1,37.9908,390.2290999999999,25.04,99.88,99.2,99.2,0.866
Qatar,12.247100000000007,14.73,99.57,100.0,8.56,18.6,86.62680000000002,21.984300000000008,7.816999999999998,0.8468000000000003,57.01,282.51700000000005,91.0,9.96,0.15,13.59,214.0,43.5,11.6361,100.0,3.912000000000004,283.9361999999999,9.420899999999994,56.72969999999999,139.37719999999996,1.27,14.21,1.89,0.13,38.549699999999994,1.6,9.0,102.67,5.83,119.33,6.8,94.0,3.5,0.3625999999999999,31.0,0.2,0.0,15.0,351.17,113.33,5.33,0.27,1.3,9.3,68.9,8.5,9.293700000000001,1.1310999999999998,46.0,1.0,0.0,0.33,98.0,95.0,98.0,25.957500000000003,22.573500000000003,28.13,46.97,10.31,0.11,0.0,0.0,30.81370000000001,12.594399999999998,9.76,15.09,0.0,195.65,432.4,82.0,1.53,102.45970000000003,1.78,100.0,95.0,0.0,5.85,-0.58,55.55,7.19,65.34,0.1,14.33,376.4999,378.02279999999985,4404827841.13,57203287625.63,9.55,5969.3,7.0,33.77059999999999,328.568,47.86,100.0,100.0,99.5,0.855
Romania,23.6,100.0,100.0,83.68,9.51,44.85,170.65,12.3,4.96,1.55,70.73,2527.9047999999993,14.82,2.06,0.19,11.45,334.0,6.0,9.76,100.0,2.5,146.85,12.8,95.22,40.15,0.0,0.65,2.79,4.34,54.25039999999997,0.5,19.0,776.67,6.1,926.67,7.27,644.0,3.4,0.04,68.0,0.7,0.0,21.53,34933.0,1373.0,10.53,2.9,11.92,10.3,46.5,38.1,13.42,2.19,40.0,22.0,0.4,0.4,86.0,81.0,78.82,38.24670000000002,35.4861,30.18,63.99,89.79,1.02,0.9,0.76,10.085,12.51,21.88,31.63,0.0,23.37,6.0,72.0,1.07,91.26960000000004,1.85,100.0,75.0,23.38,3.04,4.74,64.71,25.58,57.91,5.3,14.57,408.9854000000001,377.1668999999998,21025177500.0,10617330756.67,20.35,2268.8,19.3,42.82,533.3929,44.44,99.96,99.96,92.56,0.821
Rwanda,38.2,6.5,64.2,62.7,10.8,35.69,126.36,8.05,6.43,2.89,61.02,1208.38,40.73,0.55,0.72,0.57,30.0,42.69799999999999,6.9,56.0,35.6,623.81,36.91,93.87,33.2,0.0,0.13,3.75,29.04,132.08,0.1,248.0,6956.67,26.97,8998.0,35.17,6215.0,15.9,0.33,59.0,1.7,4717934.0,18.27,3470.58,529.33,6.73,7.23,9.07,29.7,62.9,41.0,1.15,0.13,49.0,94.0,19.3,2.37,97.0,96.0,97.0,61.21,60.83,3.57,32.99149999999999,29.86,0.88,0.57,0.26,4.22,43.62,61.25,31.94,2.04,31.52,5.55,35.0,6.13,46.67,3.0,47.51,5.0,86.73,4.38,5.79,5.19,5.77,50.24,4.8,4.67,569.32,492.88,484941596.15,4011200327.56,5.89,50.8,6.4,29.19,436.93,6.66,99.92,96.6,96.6,0.534
Saint Lucia,25.0,14.0,98.07,85.64,14.36,49.99,42.01,59.7,10.03,1.86,91.84,19.07,21.24,1.9769999999999999,0.5245999999999998,9.71,27.93,51.7,11.62,92.0,8.060000000000002,0.28,2.49,0.7,0.41,0.0,1.35,2.1,1.55,3.26,-0.7,117.0,22.0,14.87,24.0,16.6,27.0,12.4,1.9251999999999987,3.2,0.4,98.0,18.8,146.5,9.33,7.83,6.53,10.72,35.4,72.0,36.0,8.007300000000003,1.271,27.0,3.0,0.6,0.2,95.0,68.0,65.2,0.39,0.38,11.01,41.794199999999975,46.86,0.31,0.22,0.2,0.58,18.739600000000006,16.67,46.13,1.69,58.008199999999995,14.3,40.0,2.4163,1.93,1.25,98.38,95.0,2.71,2.33,0.34,42.51,15.52,60.048600000000015,0.3,30.89,2.66,4.97,0.0,1525441570.35,2.11,203.8,6.0,41.03,1.39,7.83,104.0,37.1,0.0,0.715
Saint Vincent and the Grenadines,23.801699999999997,76.6,95.15,87.18,18.81,48.57,41.6,28.61,6.48,0.48,43.61,26.59,21.29,1.7881000000000007,0.32359999999999994,8.25,20.79,24.5,4.92,96.22399999999999,5.7,249.70700000000008,11.752800000000002,5.844799999999999,71.50119999999994,0.03,0.27,1.98,7.24,1.8,-0.2,68.0,15.33,14.8,17.33,16.33,15.0,9.7,2.675299999999999,6.3,0.4,4.0,23.13,101.5,1.67,2.4,6.87,9.03,6.4,59.921999999999954,52.3,9.404100000000005,1.3594999999999997,42.0,6.0,1.3,0.2,97.0,99.0,75.34,0.38,0.36,20.33,42.81749999999999,74.08569999999999,1.0446999999999995,0.8530999999999999,0.5472000000000004,0.18,25.396600000000017,13.04,49.53,3.36,26.72979999999999,7.9,35.44,1.4722000000000002,0.03,1.45,99.39,95.0,3.4,3.26,1.81,35.14,14.06,56.64080000000002,1.6,23.773300000000013,5.85,10.39,0.0,883625936.56,4.76,347.1,7.795000000000003,65.93,8.91,14.180999999999997,100.0,100.0,90.0,0.751
Samoa,20.3,100.0,98.06,98.24,10.48,43.67,29.83,1.07,3.6,2.25,75.63,173.58,10.72,1.22,0.31,3.07,42.64,6.5,30.54,58.6,2.5,1.4,4.92,1.53,1.11,0.0,0.38,3.57,9.44,2.84,-0.3,43.0,43.33,13.57,50.67,15.73,40.0,8.3,1.0692000000000008,6.4,1.1,191219.0,20.47,100.0,6.0,4.33,5.33,2.63,11.3,39.4,39.2,8.470099999999999,1.3464999999999998,27.0,66.0,1.5,0.5,34.0,13.0,35.48,3.66,3.64,7.53,40.59309999999998,72.05829999999997,1.0022999999999997,0.7801000000000003,0.36189999999999983,8.21,20.2799,10.0,43.09,0.1,40.89149999999998,35.66440000000002,70.0,0.18,19.33,0.0,97.63,35.0,26.84,4.11,0.26,53.73,23.97,54.305099999999996,2.6,38.0,49.86,55.46,0.0,459166319.99,8.36,362.8,6.8,32.55,48.19,14.241599999999995,97.0,91.0,49.0,0.707
Sao Tome and Principe,66.2,52.5,82.8,40.55,20.12,41.03,58.40570000000002,14.784699999999996,8.559999999999997,2.7134000000000005,46.85,39.98,25.41,0.75,0.57,1.46,72.65,36.7,20.414100000000012,95.2,12.0,5.3,17.2,0.74,1.23,0.0,0.3,3.34,11.26,5.24,-0.7139999999999996,130.0,108.0,24.33,137.33,31.17,93.0,14.0,1.4457999999999998,124.0,1.4,201784.0,18.6,68.08,3.33,2.3,6.4,5.91,27.5,52.2,92.0,10.2,0.96,59.0,126.0,11.4,0.87,95.0,76.0,95.0,2.93,2.89,6.63,30.10629999999999,37.55,1.02,0.79,0.25,0.79,23.731299999999997,14.55,24.35,50.44,7.4,1.9,23.0,1.4905999999999997,8.44,0.0,66.98,5.0,38.37,4.54,0.25,26.38,20.61,40.02219999999998,0.9,24.83219999999999,12.47,10.76,7890565.66,232170490.85,6.94,116.2,6.4,26.05550000000001,9.61,7.165099999999995,93.0,93.0,0.0,0.618
Saudi Arabia,13.06719999999999,5.1,100.0,100.0,19.26,31.47,35.49,-4.82,1.95,2.13,64.8,5768.11,82.56,4.69,0.23,17.57,116.68,29.534000000000002,14.204000000000006,98.491,4.8,254.45,9.3,166.9,322.85,0.0,0.6219,2.1996999999999995,4.3027,0.23,0.2,17.0,2413.33,6.0,2829.33,7.07,2240.0,3.7,1.5296000000000007,10.0,0.3,940.0,16.13,10008.92,690.0,3.07,0.3,0.17,28.8,71.57649999999998,8.7,8.1231,1.4197,79.0,7.0,0.1,0.67,96.0,97.0,98.0,0.01,0.5529,23.62,34.76,74.31789999999998,0.9653,0.9325999999999994,0.6026999999999998,0.0,1.14,19.87,16.4,0.0,28.26,895.3,57.0,0.07,0.59,1.78,100.0,95.0,0.02,5.48,0.39,73.97,8.34,70.14,-2.5,16.2,327.7626000000001,307.54110000000003,31885647649.86,77159032660.67,13.93,2753.7,8.4,27.836499999999987,0.85,39.22,99.42,98.1,93.1,0.875
Senegal,45.63,29.9,81.15,52.03,21.53,32.53,53.336400000000005,10.6983,9.9216,2.0558999999999994,81.86,2053.4,38.63,0.57,0.39,1.18,4.0,37.8,11.13,77.4,9.4,486.81,18.83,66.49,210.41,0.0,0.23770000000000008,4.592099999999999,21.3873,132.09,0.2,315.0,11500.67,31.77,15653.33,43.53,11289.0,20.6,0.08,118.0,3.5,9061189.0,18.17,4503.33,621.33,6.07,0.7,0.78,23.4,53.9,77.5,3.33,0.19,75.0,110.0,23.9,2.3,81.0,63.0,81.0,88.58,86.22,1.0,28.68,27.79,0.77,0.62,0.24,6.9,47.56,43.03,23.16,13.27,5.46,11.8,53.0,0.68,223.44,2.0,62.92,23.0,37.59,3.62,3.85,5.53,5.6,42.5,2.9,35.9,411.13,332.13,793338703.26,6228457101.52,15.27,213.4,6.2,10.47,325.84,21.65,97.9,92.2,62.0,0.511
Serbia,25.7,46.1,85.72,95.22,9.26,52.45,55.028899999999965,14.278800000000011,6.316499999999998,1.511200000000001,78.41,905.8,24.48,2.08,0.43,9.36,2.0,15.6,6.14,99.4,4.6,26.56,5.98,61.65,17.31,0.0,0.29,2.2,7.53,39.23,0.2,12.0,268.67,4.8,310.0,5.53,282.0,3.4,0.03,17.0,0.1,0.0,19.13,14927.0,920.0,15.73,5.97,8.86,7.4,25.1,15.2,8.05,0.53,39.0,29.0,0.7,0.3,96.0,90.0,48.0,0.52,0.02,25.56,64.77,73.72,0.73,0.5,0.39,8.17,31.21,37.65,31.33,0.08,5.59,4.25,30.0,0.65,38.38,3.0,100.0,66.0,19.9,6.09,4.71,48.38,27.52,71.48,4.0,17.0,664.38,665.5,2252677925.0,36247400762.56,15.59,747.9,18.3,48.22,1018.66,26.75,99.77,98.67,96.7,0.802
Seychelles,39.3,100.0,96.25,100.0,11.72,46.597199999999994,62.57,13.37,8.12,3.89,53.13,141.83,18.68,1.81,0.16,12.56,121.0,15.2,10.552499999999998,94.29000000000002,8.314999999999998,0.62,7.9,0.8,0.34,0.0,1.3,2.61,2.01,5.35,-0.8,53.0,13.33,12.4,15.33,14.43,14.0,8.8,1.2144000000000008,18.0,0.2,0.0,21.03,76.5,6.0,9.37,7.27,20.66,15.9,54.28049999999998,68.3,3.48,1.6,38.0,14.0,0.2,0.6,99.0,97.0,16.0,0.02,0.02,27.75,49.67,76.5333,1.0186999999999997,0.8030999999999999,0.5822999999999999,1.61,27.923200000000016,21.21,47.81,0.0,76.07,47.67100000000001,45.0,1.06,0.19,0.0,100.0,95.0,0.64,3.22,7.1,83.91,51.43,71.7093,4.0280000000000005,26.891700000000004,7.24,10.13,1948250.0,727770421.68,6.06,1021.1,5.4,39.16159999999998,11.37,16.71089999999999,99.0,98.5,98.5,0.785
Sierra Leone,50.07,2.0,62.24,16.61,32.47,47.46,138.5739,12.849299999999998,13.79990000000001,2.8749000000000002,78.93,519.12,20.61,1.63,3.52,0.55,5.0,33.0,46.15,81.1,26.0,338.46,29.5,51.63,61.95,4.67,0.0,0.12,51.79,12.58,0.4,1120.0,13174.67,78.33,17600.0,104.93,8399.0,32.8,0.68,298.0,8.2,6498480.0,30.43,3096.25,477.0,9.7,3.5,5.75,30.2,45.4,101.3,54.2,22.16,104.0,263.0,81.3,4.13,90.0,55.0,90.0,70.03,67.51,0.67,6.0,36.05,0.67,0.41,0.11,0.87,18.2,12.33,37.85,16.51,11.47,0.5,19.0,0.2,50.36,2.0,25.82,5.0,77.54,6.48,2.41,0.36,2.65,19.98,2.4,10.1,47.06,141.71,643270304.71,1834939074.51,1.59,10.4,2.8,3.02,117.45,8.239599999999998,90.0,40.02,0.0,0.477
Singapore,14.1897,48.9,100.0,100.0,28.84,49.24,74.32,6.65,1.31,1.17,70.04,2075.4363,18.26,5.76,0.11,19.93,17.0,11.5,9.027600000000005,100.0,2.825,10.43,4.4,6.16,8.53,7.39,12.52,0.3,0.02,38.890100000000004,0.0,8.0,76.0,2.27,94.67,2.8,54.0,1.1,0.05,47.0,0.5,6.0,9.33,2980.75,370.67,9.93,1.1,2.04,2.8,76.18349999999995,2.5,9.01,1.47,26.0,4.58,0.1,0.1,96.0,84.0,82.0,27.043400000000002,22.130600000000005,23.64,93.27,75.68719999999998,1.0389,0.9214,0.6655,8.876100000000001,26.1595,24.0,36.4,0.0,436.40880000000004,82.6,100.0,5.1,81.53490000000002,1.56,100.0,95.0,0.69,3.12,2.34,64.59,8.13,97.97,0.0,4.17,339.95540000000005,383.48399999999987,1644951210.97,91233959352.1,18.31,10557.5,10.4,43.314000000000014,385.18300000000005,78.16,100.0,100.0,100.0,0.939
